ingredient,calories_per_g,fat_per_g,carbs_per_g,protein_per_g,fiber_per_g,source,usda_fdc_id,usda_description,csv_calories_per100g,usda_calories_per100g,calorie_diff_pct,reason
corn on the cob,0.96,0.015,0.209,0.034,0.024,usda,169349,"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, with salt",96.0,94.0,2.1%,
corned beef,2.51,0.187,0.005,0.183,0.0,usda,170200,"Beef, cured, corned beef, brisket, cooked",251.0,251,0.0%,
cornmeal,3.62,0.037,0.769,0.084,0.073,usda,169697,"Cornmeal, whole-grain, yellow",362.0,362,0.0%,
cottage cheese,0.98,0.042,0.034,0.112,0.0,usda,172179,"Cheese, cottage, creamed, large or small curd",98.0,98.0,0.0%,
couscous,1.12,0.002,0.232,0.038,0.014,usda,169700,"Couscous, cooked",112.0,112,0.0%,
crab,0.97,0.012,0.0,0.193,0.0,usda,171969,"Crustaceans, crab, queen, raw",97.0,90.0,7.2%,
crackers,4.84,0.205,0.637,0.097,0.024,usda,171838,"Crackers, multigrain",484.0,482,0.4%,
cranberry juice,0.46,0.001,0.123,0.004,0.001,usda,173654,"Cranberry juice cocktail, frozen concentrate, prepared with water",46.0,47.0,2.2%,
cream,3.4,0.365,0.028,0.021,0.0,usda,2346386,"Cream, heavy",340.0,343,0.9%,
cream cheese,3.42,0.342,0.041,0.058,0.0,usda,2346385,"Cream cheese, full fat, block",342.0,343,0.3%,
crispbread,3.66,0.014,0.788,0.096,0.146,usda,172739,"Crackers, crispbread, rye",366.0,366,0.0%,
croissants,4.06,0.21,0.456,0.082,0.024,usda,174987,"Croissants, butter",406.0,406,0.0%,
croutons,4.07,0.079,0.732,0.116,0.04,usda,172751,"Croutons, plain",407.0,407,0.0%,
cucumbers,0.15,0.001,0.036,0.007,0.005,usda,2346406,"Cucumber, with peel, raw",15.0,15.9,6.0%,
dark chocolate,5.98,0.427,0.458,0.079,0.109,usda,170273,"Chocolate, dark, 70-85% cacao solids",598.0,598,0.0%,
dates,2.82,0.004,0.75,0.024,0.08,usda,168191,"Dates, medjool",282.0,277,1.8%,
donuts,4.21,0.224,0.487,0.061,0.014,usda,172758,"Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)",421.0,421,0.0%,
duck,3.37,0.282,0.0,0.195,0.0,usda,172409,"Duck, domesticated, meat and skin, cooked, roasted",337.0,337,0.0%,
edamame,1.21,0.052,0.089,0.119,0.051,usda,168410,"Edamame, frozen, unprepared",121.0,109,9.9%,
eel,2.36,0.148,0.0,0.237,0.0,usda,174194,"Fish, eel, mixed species, cooked, dry heat",236.0,236,0.0%,
egg rolls,2.22,0.087,0.289,0.064,0.018,usda,172103,"Egg rolls, pork, refrigerated, heated",222.0,227,2.3%,
egg whites,0.52,0.002,0.007,0.109,0.0,usda,172183,"Egg, white, raw, fresh",52.0,52.0,0.0%,
eggnog,0.88,0.047,0.08,0.034,0.0,usda,171258,Eggnog,88.0,88.0,0.0%,
eggplant,0.25,0.002,0.059,0.01,0.03,usda,2685577,"Eggplant, raw",25.0,26.1,4.4%,
endive,0.17,0.002,0.033,0.013,0.031,usda,168412,"Endive, raw",17.0,17.0,0.0%,
energy drinks,0.45,0.0,0.112,0.001,0.0,usda,174108,"Beverages,  Energy drink, Citrus",45.0,45.0,0.0%,
english muffins,2.27,0.02,0.442,0.083,0.024,usda,172761,"Muffins, English, wheat",227.0,223,1.8%,
falafel,3.33,0.178,0.317,0.133,0.04,usda,172455,"Falafel, home-prepared",333.0,333,0.0%,
feta cheese,2.64,0.213,0.041,0.141,0.0,usda,2259796,"Cheese, feta, whole milk, crumbled",264.0,273,3.4%,
fish oil,9.02,1.0,0.0,0.0,0.0,usda,173708,"Fish, tuna, light, canned in oil, drained solids",902.0,830,8.0%,
flounder,0.86,0.012,0.0,0.181,0.0,usda,174197,"Fish, flatfish (flounder and sole species), cooked, dry heat",86.0,86.0,0.0%,
flour,3.64,0.01,0.762,0.102,0.027,usda,2512376,"Flour, barley",364.0,367,0.8%,
french dressing,2.22,0.172,0.158,0.006,0.002,usda,171404,"Salad dressing, french dressing, reduced fat",222.0,222,0.0%,
french fries,3.12,0.148,0.412,0.033,0.038,usda,170698,"Fast foods, potato, french fried in vegetable oil",312.0,312,0.0%,
french toast,2.29,0.078,0.324,0.074,0.01,usda,174998,"French toast, prepared from recipe, made with low fat (2%) milk",229.0,229,0.0%,
fried chicken,2.97,0.167,0.115,0.238,0.004,usda,169842,"CRACKER BARREL, chicken tenderloin platter, fried",297.0,293,1.3%,
fried eggs,1.96,0.149,0.008,0.136,0.0,usda,173423,"Egg, whole, cooked, fried",196.0,196,0.0%,
frostings,3.95,0.12,0.7,0.01,0.001,usda,168795,"Frostings, chocolate, creamy, ready-to-eat",395.0,397,0.5%,
frozen yogurt,1.59,0.04,0.277,0.037,0.0,usda,168815,"Frozen yogurts, vanilla, soft-serve",159.0,159,0.0%,
fruit cocktail,0.5,0.001,0.126,0.004,0.01,usda,174668,"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",50.0,46.0,8.0%,
fruit punch,0.48,0.0,0.119,0.001,0.001,usda,171914,"Beverages, fruit punch drink, without added nutrients, canned",48.0,48.0,0.0%,
fruit salad,0.5,0.002,0.126,0.005,0.012,usda,174670,"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids",50.0,50.0,0.0%,
fudge,4.11,0.106,0.749,0.023,0.01,usda,167987,"Candies, fudge, chocolate, prepared-from-recipe",411.0,410,0.2%,
garlic bread,3.5,0.157,0.44,0.083,0.022,usda,167939,"Garlic bread, frozen",350.0,350,0.0%,
gelatin,3.35,0.0,0.0,0.857,0.0,usda,169693,"Gelatin desserts, dry mix, reduced calorie, with aspartame, no added sodium",335.0,345,3.0%,
ginger,0.8,0.008,0.178,0.018,0.02,usda,169231,"Ginger root, raw",80.0,80.0,0.0%,
goat cheese,3.64,0.298,0.012,0.218,0.0,usda,172176,"Cheese, brick",364.0,371,1.9%,
gorgonzola cheese,3.53,0.289,0.024,0.214,0.0,usda,172176,"Cheese, brick",353.0,371,5.1%,
gouda cheese,3.56,0.274,0.022,0.249,0.0,usda,172176,"Cheese, brick",356.0,371,4.2%,
granola,4.89,0.198,0.648,0.126,0.07,usda,169681,"Snacks, granola bars, hard, peanut butter",489.0,483,1.2%,
granola bars,4.71,0.196,0.642,0.085,0.04,usda,167542,"Snacks, granola bars, hard, plain",471.0,471,0.0%,
grape juice,0.6,0.001,0.149,0.004,0.001,usda,173042,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",60.0,60.0,0.0%,
grapefruit juice,0.39,0.001,0.093,0.005,0.001,usda,173039,"Grapefruit juice, white, raw",39.0,39.0,0.0%,
grapefruits,0.42,0.001,0.109,0.008,0.016,usda,173039,"Grapefruit juice, white, raw",42.0,39.0,7.1%,
greek yogurt,0.97,0.05,0.036,0.09,0.0,usda,170907,"Yogurt, Greek, vanilla, lowfat",97.0,95.0,2.1%,
green beans,0.31,0.001,0.07,0.018,0.032,usda,169965,"Beans, snap, green, microwaved",31.0,33.0,6.5%,
green onions,0.32,0.002,0.073,0.018,0.026,usda,170007,"Onions, welsh, raw",32.0,34.0,6.2%,
green peas,0.81,0.004,0.144,0.054,0.051,usda,170419,"Peas, green, raw",81.0,81.0,0.0%,
grilled chicken,1.9,0.071,0.0,0.296,0.0,usda,170368,"Fast Foods, grilled chicken filet sandwich, with lettuce, tomato and spread",190.0,182,4.2%,
ground beef,2.54,0.175,0.0,0.261,0.0,usda,2514744,"Beef, ground, 80% lean meat / 20% fat, raw",254.0,243,4.3%,
ground chicken,1.69,0.083,0.0,0.207,0.0,usda,174481,"Ostrich, ground, raw",169.0,165,2.4%,
ground pork,2.63,0.202,0.0,0.196,0.0,usda,167902,"Pork, fresh, ground, raw",263.0,263,0.0%,
ground turkey,1.7,0.084,0.0,0.219,0.0,usda,2514747,"Turkey, ground, 93% lean/ 7% fat, raw",170.0,153,10.0%,
haddock,0.9,0.008,0.0,0.197,0.0,usda,174198,"Fish, haddock, cooked, dry heat",90.0,90.0,0.0%,
half and half,1.3,0.117,0.041,0.029,0.0,usda,171255,"Cream, fluid, half and half",130.0,131,0.8%,
halibut,1.11,0.023,0.0,0.227,0.0,usda,174201,"Fish, halibut, Atlantic and Pacific, cooked, dry heat",111.0,111,0.0%,
hamburgers,2.54,0.135,0.24,0.138,0.01,usda,170328,"BURGER KING, Hamburger",254.0,261,2.8%,
hard boiled eggs,1.55,0.106,0.011,0.125,0.0,usda,173424,"Egg, whole, cooked, hard-boiled",155.0,155,0.0%,
havarti cheese,3.71,0.314,0.003,0.233,0.0,usda,172176,"Cheese, brick",371.0,371,0.0%,
herring,2.03,0.115,0.0,0.234,0.0,usda,175117,"Fish, herring, Atlantic, cooked, dry heat",203.0,203,0.0%,
hominy,0.72,0.01,0.155,0.015,0.021,usda,169701,"Hominy, canned, white",72.0,72.0,0.0%,
honeydew melons,0.36,0.001,0.091,0.005,0.008,usda,169911,"Melons, honeydew, raw",36.0,36.0,0.0%,
hot dogs,2.9,0.245,0.028,0.113,0.0,usda,174090,"Rolls, hamburger or hot dog, whole wheat",290.0,269,7.2%,
hummus,1.66,0.096,0.143,0.08,0.06,usda,172454,"Hummus, home prepared",166.0,177,6.6%,
ice cream cones,3.98,0.051,0.824,0.072,0.019,usda,175001,"Ice cream cones, sugar, rolled-type",398.0,402,1.0%,
ice creams,2.07,0.11,0.24,0.035,0.006,usda,168809,"Ice creams, chocolate",207.0,216,4.3%,
jalapenos,0.29,0.004,0.063,0.009,0.027,usda,168576,"Peppers, jalapeno, raw",29.0,29.0,0.0%,
jicama,0.38,0.001,0.088,0.007,0.049,usda,170074,"Yambean (jicama), cooked, boiled, drained, without salt",38.0,38.0,0.0%,
ketchup,1.12,0.002,0.274,0.013,0.003,usda,168556,Catsup,112.0,101,9.8%,
kiwi,0.61,0.005,0.148,0.011,0.03,usda,2710831,"Kiwifruit (kiwi), green, peeled, raw",61.0,65.1,6.7%,
lamb chops,2.94,0.212,0.0,0.252,0.0,usda,172636,"Lamb, New Zealand, imported, neck chops, separable lean and fat, cooked, braised",294.0,307,4.4%,
leeks,0.61,0.003,0.142,0.015,0.018,usda,169246,"Leeks, (bulb and lower leaf-portion), raw",61.0,61.0,0.0%,
lemon,0.29,0.003,0.093,0.011,0.028,usda,167746,"Lemons, raw, without peel",29.0,29.0,0.0%,
lemon juice,0.22,0.002,0.066,0.004,0.003,usda,167747,"Lemon juice, raw",22.0,22.0,0.0%,
lemonade,0.4,0.001,0.106,0.001,0.001,usda,173217,"Lemonade, frozen concentrate, white, prepared with water",40.0,40.0,0.0%,
lentils,1.16,0.004,0.201,0.09,0.079,usda,172421,"Lentils, mature seeds, cooked, boiled, without salt",116.0,116,0.0%,
light beer,0.29,0.0,0.018,0.002,0.0,usda,169572,"Alcoholic beverage, beer, light, BUD LIGHT",29.0,29.0,0.0%,
lima beans,1.15,0.004,0.209,0.079,0.07,usda,173802,"Lima beans, large, mature seeds, cooked, boiled, with salt",115.0,115,0.0%,
lobster,0.89,0.005,0.005,0.192,0.0,usda,174209,"Crustaceans, lobster, northern, cooked, moist heat",89.0,89.0,0.0%,
macadamia nuts,7.18,0.758,0.138,0.079,0.086,usda,170178,"Nuts, macadamia nuts, raw",718.0,718,0.0%,
macaroni,1.57,0.009,0.309,0.058,0.018,usda,173342,"Macaroni and cheese, frozen entree",157.0,149,5.1%,
macaroni and cheese,1.64,0.076,0.185,0.074,0.009,usda,173342,"Macaroni and cheese, frozen entree",164.0,149,9.1%,
mackerel,2.05,0.137,0.0,0.189,0.0,usda,175119,"Fish, mackerel, Atlantic, raw",205.0,205,0.0%,
mahi mahi,0.85,0.007,0.0,0.185,0.0,usda,2747658,"Mahi mahi, frozen, wild caught",85.0,83.7,1.5%,
mandarin oranges,0.53,0.003,0.134,0.008,0.018,usda,174854,"Beverages, carbonated, orange",53.0,48.0,9.4%,
maple syrup,2.6,0.001,0.67,0.0,0.0,usda,169661,"Syrups, maple",260.0,260,0.0%,
marshmallows,3.18,0.002,0.812,0.016,0.001,usda,167995,"Candies, marshmallows",318.0,318,0.0%,
mayonnaise,6.8,0.749,0.006,0.01,0.0,usda,171009,"Salad dressing, mayonnaise, regular",680.0,680,0.0%,
meatballs,2.21,0.114,0.072,0.182,0.005,usda,170709,"Fast foods, submarine sandwich, meatball marinara on white bread",221.0,219,0.9%,
mexican cheese,3.63,0.286,0.032,0.235,0.0,usda,173437,"Cheese, mexican, queso asadero",363.0,356,1.9%,
milk shakes,1.12,0.037,0.172,0.034,0.002,usda,170884,"Milk shakes, thick vanilla",112.0,112,0.0%,
millet,1.19,0.01,0.237,0.035,0.013,usda,168871,"Millet, cooked",119.0,119,0.0%,
mixed nuts,6.07,0.538,0.212,0.203,0.067,usda,169427,"Nuts, mixed nuts, oil roasted, with peanuts, lightly salted",607.0,607,0.0%,
mixed vegetables,0.65,0.003,0.134,0.026,0.04,usda,170472,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",65.0,65.0,0.0%,
mozzarella cheese,3.0,0.222,0.022,0.222,0.0,usda,170845,"Cheese, mozzarella, whole milk",300.0,299,0.3%,
muenster cheese,3.68,0.302,0.012,0.234,0.0,usda,172176,"Cheese, brick",368.0,371,0.8%,
muffins,3.4,0.103,0.559,0.055,0.018,usda,175004,"Muffins, corn, toaster-type",340.0,346,1.8%,
multigrain bread,2.65,0.044,0.46,0.107,0.058,usda,171852,"Bagels, multigrain",265.0,241,9.1%,
mussels,1.72,0.045,0.074,0.239,0.0,usda,174217,"Mollusks, mussel, blue, cooked, moist heat",172.0,172,0.0%,
mustard,0.6,0.034,0.054,0.037,0.032,usda,172234,"Mustard, prepared, yellow",60.0,60.0,0.0%,
mustard greens,0.27,0.004,0.047,0.028,0.032,usda,169256,"Mustard greens, raw",27.0,27.0,0.0%,
naan,2.9,0.06,0.502,0.089,0.021,usda,171845,"Bread, naan, plain, commercially prepared, refrigerated",290.0,291,0.3%,
nachos,3.06,0.164,0.318,0.083,0.03,usda,168863,"Snacks, tortilla chips, low fat, made with olestra, nacho cheese",306.0,318,3.9%,
nectar,0.58,0.001,0.142,0.003,0.002,usda,169107,"Papaya nectar, canned",58.0,57.0,1.7%,
nectarines,0.44,0.003,0.108,0.011,0.017,usda,169914,"Nectarines, raw",44.0,44.0,0.0%,
noodles,1.38,0.023,0.253,0.048,0.012,usda,169732,"Noodles, egg, enriched, cooked",138.0,138,0.0%,
nopales,0.16,0.001,0.034,0.013,0.022,usda,168571,"Nopales, raw",16.0,16.0,0.0%,
nutrition bars,3.94,0.13,0.545,0.15,0.05,usda,173550,"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, with iron and fiber",394.0,413,4.8%,
nuts,6.07,0.538,0.212,0.203,0.067,usda,2515374,"Nuts, cashew nuts, raw",607.0,565,6.9%,
oats,3.89,0.069,0.661,0.169,0.109,usda,2261421,"Flour, oat, whole grain",389.0,389,0.0%,
octopus,0.82,0.01,0.022,0.149,0.0,usda,174218,"Mollusks, octopus, common, raw",82.0,82.0,0.0%,
oil,8.84,1.0,0.0,0.0,0.0,usda,172336,"Oil, canola",884.0,884,0.0%,
okra,0.33,0.002,0.072,0.019,0.032,usda,169260,"Okra, raw",33.0,33.0,0.0%,
olive oil,8.84,1.0,0.0,0.0,0.0,usda,167737,"Oil, corn, peanut, and olive",884.0,884,0.0%,
olives,1.15,0.108,0.061,0.008,0.032,usda,168085,"OLIVE GARDEN, spaghetti with meat sauce",115.0,121,5.2%,
omelets,1.54,0.103,0.016,0.108,0.003,usda,172185,"Egg, whole, cooked, omelet",154.0,154,0.0%,
onion rings,3.32,0.177,0.383,0.043,0.019,usda,169021,"CRACKER BARREL, onion rings, thick-cut",332.0,327,1.5%,
orange,0.47,0.001,0.118,0.009,0.024,usda,174854,"Beverages, carbonated, orange",47.0,48.0,2.1%,
