Dish ID,Ingredient ID,Ingredient Name,Mass (grams),Calories (kcal),Fat (grams),Carbs (grams),Protein (grams)
dish_1568305257,ingr_0000000033,bell peppers,15.030304,6.0121216,0.030060608,1.35272736,0.30060608
dish_1568305257,ingr_0000000126,mustard,0.751515,0.460678695,0.024799995,0.0450909,0.027806055
dish_1568305257,ingr_0000000161,olive oil,12.024242,106.29429928,12.024242,0.0,0.0
dish_1568305257,ingr_0000000031,cucumbers,15.030304,1.5030304,0.0,0.30060608,0.15030304
dish_1568305257,ingr_0000000189,vinegar,6.012121,0.0,0.0,0.0,0.0
dish_1568305257,ingr_0000000008,scrambled eggs,276.000000,408.48,30.36,4.416,27.6
dish_1568305257,ingr_0000000122,garlic,0.751515,1.11975735,0.003757575,0.24799995,0.04809696
dish_1568305257,ingr_0000000073,radishes,12.024242,1.92387872,0.012024242,0.408824228,0.084169694
dish_1565119464,ingr_0000000513,millet,6.821508,8.11759452,0.06821508,1.616697396,0.23875278
dish_1565119464,ingr_0000000054,apple,1.718799,0.89377548,0.003437598,0.24063186,0.005156397
dish_1565119464,ingr_0000000011,cheese pizza,122.000000,324.398,11.468,40.87,13.664
dish_1565119464,ingr_0000000291,salt,0.117664,0.0,0.0,0.0,0.0
dish_1565119464,ingr_0000000161,olive oil,3.778674,33.40347816,3.778674,0.0,0.0
dish_1565119464,ingr_0000000094,onions,5.142976,2.0571904,0.005142976,0.46286784,0.056572736
dish_1565119464,ingr_0000000473,cranberries,1.718799,0.79064754,0.001718799,0.20625588,0.008593995
dish_1565119464,ingr_0000000126,mustard,0.429700,0.2634061,0.0141801,0.025782,0.0158989
dish_1565119464,ingr_0000000189,vinegar,1.804068,0.0,0.0,0.0,0.0
dish_1565119464,ingr_0000000036,spinach (raw),21.484991,4.94154793,0.085939964,0.773459676,0.623064739
dish_1565119464,ingr_0000000511,spinach (cooked),1.705377,0.39223671,0.0,0.06821508,0.05116131
dish_1565119464,ingr_0000000025,beef,51.161312,127.90328,7.6741968,0.0,13.30194112
dish_1565119464,ingr_0000000133,shallots,3.410754,0.6821508,0.006821508,0.112554882,0.05116131
dish_1565119464,ingr_0000000525,bok choy,1.705377,0.22169901,0.003410754,0.037518294,0.025580655
dish_1550705623,ingr_0000000033,bell peppers,51.000000,20.4,0.102,4.59,1.02
dish_1563568338,ingr_0000000291,salt,0.353211,0.0,0.0,0.0,0.0
dish_1563568338,ingr_0000000122,garlic,0.176605,0.26314145,0.000883025,0.05827965,0.01130272
dish_1563568338,ingr_0000000161,olive oil,2.111873,18.66895732,2.111873,0.0,0.0
dish_1563568338,ingr_0000000072,kale,3.532110,1.7307339,0.02472477,0.3178899,0.11655963
dish_1563568338,ingr_0000000094,onions,3.532110,1.412844,0.00353211,0.3178899,0.03885321
dish_1563568338,ingr_0000000514,wheat berry,23.300970,21.2038827,0.11650485,4.45048527,0.97864074
dish_1563568338,ingr_0000000046,mushroom,14.128440,3.1082568,0.04238532,0.46623852,0.43798164
dish_1563568338,ingr_0000000205,corn on the cob,148.000000,157.028,3.552,32.56,4.588
dish_1563568338,ingr_0000000421,ground turkey,105.963303,273.38532174,18.01376151,0.0,26.49082575
dish_1563568338,ingr_0000000527,chive,0.353211,0.1059633,0.002472477,0.015541284,0.011655963
dish_1563568338,ingr_0000000011,cheese pizza,45.000000,119.655,4.23,15.075,5.04
dish_1563568338,ingr_0000000045,carrot,1.766055,0.72408255,0.00353211,0.1766055,0.015894495
dish_1563568338,ingr_0000000518,thyme,0.088303,0.08918603,0.001501151,0.02119272,0.00529818
dish_1563568338,ingr_0000000034,celery,1.766055,0.2825688,0.00353211,0.06004587,0.012362385
dish_1563568338,ingr_0000000341,cream,2.825688,9.502788744,1.034201808,0.076293576,0.079119264
dish_1563568338,ingr_0000000026,white rice,14.128440,18.366972,0.04238532,3.9559632,0.38146788
dish_1563568338,ingr_0000000179,eggs,3.973624,6.17898532,0.41723052,0.047683488,0.496703
dish_1563468299,ingr_0000000001,cottage cheese,83.000000,81.34,3.569,2.822,9.13
dish_1563468299,ingr_0000000038,pineapple,107.000000,53.5,0.107,13.91,0.535
dish_1563468299,ingr_0000000121,watermelon,132.000000,39.6,0.264,10.032,0.792
dish_1563468299,ingr_0000000013,berries,63.000000,35.91,0.189,8.82,0.441
dish_1551568059,ingr_0000000057,lemon,123.000000,35.67,0.369,11.07,1.353
dish_1562691674,ingr_0000000437,sweet potato,56.500000,42.94,0.0,10.17,0.565
dish_1562691674,ingr_0000000161,olive oil,2.219512,19.62048608,2.219512,0.0,0.0
dish_1562691674,ingr_0000000027,broccoli,88.780487,31.07317045,0.355121948,6.21463409,2.130731688
dish_1562691674,ingr_0000000128,egg whites,96.000000,49.92,0.192,0.672,9.6
dish_1562691674,ingr_0000000192,yam,56.500000,70.1165,0.113,16.611,0.904
dish_1562691674,ingr_0000000545,greek yogurt,38.765083,22.87139897,0.155060332,1.395542988,3.8765083
dish_1562691674,ingr_0000000543,chia seeds,9.725404,47.26546344,3.01487524,4.08466968,1.65331868
dish_1562691674,ingr_0000000510,chicken apple sausage,45.000000,72.0,4.5,1.35,6.3
dish_1562691674,ingr_0000000502,milk,41.509514,21.16985214,0.788680766,2.0754757,1.45283299
dish_1564082462,ingr_0000000508,soy sauce,2.940334,1.55837702,0.017642004,0.144076366,0.238167054
dish_1564082462,ingr_0000000532,pesto,10.705882,60.16705684,5.877529218,0.85647056,1.295411722
dish_1564082462,ingr_0000000471,cherry tomatoes,6.691177,1.20441186,0.013382354,0.260955903,0.060220593
dish_1564082462,ingr_0000000023,brown rice,27.537092,30.56617212,0.247833828,6.33353116,0.715964392
dish_1564082462,ingr_0000000517,chard,6.884273,1.30801187,0.013768546,0.254718101,0.123916914
dish_1564082462,ingr_0000000036,spinach (raw),2.676471,0.61558833,0.010705884,0.096352956,0.077617659
dish_1564082462,ingr_0000000462,pork,51.455849,122.46492062,7.20381886,0.0,13.37852074
dish_1564082462,ingr_0000000052,cheese,1.338235,5.3797047,0.44161755,0.017397055,0.33455875
dish_1564082462,ingr_0000000006,caesar salad,93.000000,40.92,1.953,3.999,2.976
dish_1564082462,ingr_0000000524,parsley,0.344214,0.127703394,0.002753712,0.022029696,0.009982206
dish_1564082462,ingr_0000000026,white rice,7.350835,9.5560855,0.022052505,2.0582338,0.198472545
dish_1564082462,ingr_0000000328,sugar,5.513126,21.39092888,0.0,5.513126,0.0
dish_1564082462,ingr_0000000122,garlic,3.214563,4.78969887,0.016072815,1.06080579,0.205732032
dish_1564082462,ingr_0000000045,carrot,27.537092,11.29020772,0.055074184,2.7537092,0.247833828
dish_1564082462,ingr_0000000291,salt,1.744396,0.0,0.0,0.0,0.0
dish_1564082462,ingr_0000000312,pepper,0.183771,0.0735084,0.000367542,0.017090703,0.00367542
dish_1564082462,ingr_0000000525,bok choy,7.350835,0.95560855,0.01470167,0.16171837,0.110262525
dish_1564082462,ingr_0000000074,pasta,66.911766,88.055884056,0.736029426,16.594117968,3.412500066
dish_1564082462,ingr_0000000161,olive oil,5.507418,48.68557512,5.507418,0.0,0.0
dish_1564082462,ingr_0000000521,basil,0.344214,0.08261136,0.0,0.00688428,0.01376856
dish_1564082462,ingr_0000000516,rosemary,0.344214,0.45092034,0.019620198,0.0688428,0.009982206
dish_1564082462,ingr_0000000520,lemon juice,1.032641,0.17554897,0.0,0.057827896,0.004130564
dish_1564082462,ingr_0000000094,onions,2.676471,1.0705884,0.002676471,0.24088239,0.029441181
dish_1564082462,ingr_0000000527,chive,0.344214,0.1032642,0.002409498,0.015145416,0.011359062
dish_1564082462,ingr_0000000028,chicken,275.370941,454.36205265,9.913353876,0.0,85.36499171
dish_1568217372,ingr_0000000033,bell peppers,9.454546,3.7818184,0.018909092,0.85090914,0.18909092
dish_1568217372,ingr_0000000008,scrambled eggs,138.000000,204.24,15.18,2.208,13.8
dish_1568217372,ingr_0000000291,salt,0.236364,0.0,0.0,0.0,0.0
dish_1568217372,ingr_0000000126,mustard,0.472727,0.289781651,0.015599991,0.02836362,0.017490899
dish_1568217372,ingr_0000000031,cucumbers,9.454546,0.9454546,0.0,0.18909092,0.09454546
dish_1568217372,ingr_0000000161,olive oil,7.563636,66.86254224,7.563636,0.0,0.0
dish_1568217372,ingr_0000000189,vinegar,3.781818,0.0,0.0,0.0,0.0
dish_1568217372,ingr_0000000073,radishes,7.563636,1.21018176,0.007563636,0.257163624,0.052945452
dish_1568217372,ingr_0000000039,sausage,67.000000,230.882,18.291,2.814,12.931
dish_1568217372,ingr_0000000122,garlic,0.472727,0.70436323,0.002363635,0.15599991,0.030254528
dish_1558631825,ingr_0000000205,corn on the cob,112.000000,118.832,2.688,24.64,3.472
dish_1563216440,ingr_0000000514,wheat berry,12.073921,10.98726811,0.060369605,2.306118911,0.507104682
dish_1563216440,ingr_0000000161,olive oil,0.452772,4.00250448,0.452772,0.0,0.0
dish_1563216440,ingr_0000000036,spinach (raw),3.018480,0.6942504,0.01207392,0.10866528,0.08753592
dish_1563216440,ingr_0000000471,cherry tomatoes,6.036961,1.08665298,0.012073922,0.235441479,0.054332649
dish_1563216440,ingr_0000000244,chicken breast,120.739220,199.46119144,4.34661192,0.0,37.54989742
dish_1563216440,ingr_0000000026,white rice,106.000000,137.8,0.318,29.68,2.862
dish_1563216440,ingr_0000000148,parmesan cheese,3.018480,13.00059336,0.86328528,0.12677616,1.15909632
dish_1563216440,ingr_0000000122,garlic,1.207392,1.79901408,0.00603696,0.39843936,0.077273088
dish_1563216440,ingr_0000000291,salt,0.150924,0.0,0.0,0.0,0.0
dish_1563216440,ingr_0000000027,broccoli,99.000000,34.65,0.396,6.93,2.376
dish_1563216440,ingr_0000000518,thyme,0.301848,0.30486648,0.005131416,0.07244352,0.01811088
dish_1558031302,ingr_0000000005,potatoes,74.000000,56.98,0.074,12.58,1.48
dish_1550711094,ingr_0000000033,bell peppers,40.000000,16.0,0.08,3.6,0.8
dish_1550711094,ingr_0000000038,pineapple,36.000000,18.0,0.036,4.68,0.18
dish_1550711094,ingr_0000000025,beef,29.000000,72.5,4.35,0.0,7.54
dish_1560368464,ingr_0000000161,olive oil,2.841699,25.12061916,2.841699,0.0,0.0
dish_1560368464,ingr_0000000023,brown rice,14.208494,15.77142834,0.127876446,3.26795362,0.369420844
dish_1560368464,ingr_0000000189,vinegar,0.710425,0.0,0.0,0.0,0.0
dish_1560368464,ingr_0000000471,cherry tomatoes,3.552124,0.63938232,0.007104248,0.138532836,0.031969116
dish_1560368464,ingr_0000000112,honeydew melons,137.000000,49.32,0.137,12.33,0.685
dish_1560368464,ingr_0000000133,shallots,0.710425,0.142085,0.00142085,0.023444025,0.010656375
dish_1560368464,ingr_0000000524,parsley,0.355212,0.131783652,0.002841696,0.022733568,0.010301148
dish_1560368464,ingr_0000000521,basil,0.355212,0.08525088,0.0,0.00710424,0.01420848
dish_1560368464,ingr_0000000520,lemon juice,0.710425,0.12077225,0.0,0.0397838,0.0028417
dish_1560368464,ingr_0000000094,onions,1.420849,0.5683396,0.001420849,0.12787641,0.015629339
dish_1560368464,ingr_0000000462,pork,106.563705,253.6216179,14.9189187,0.0,27.7065633
dish_1560368464,ingr_0000000312,pepper,1.420849,0.5683396,0.002841698,0.132138957,0.02841698
dish_1560368464,ingr_0000000122,garlic,1.420849,2.11706501,0.007104245,0.46888017,0.090934336
dish_1560368464,ingr_0000000027,broccoli,3.552124,1.2432434,0.014208496,0.24864868,0.085250976
dish_1560368464,ingr_0000000291,salt,0.177606,0.0,0.0,0.0,0.0
dish_1560368990,ingr_0000000133,shallots,0.339768,0.0679536,0.000679536,0.011212344,0.00509652
dish_1560368990,ingr_0000000291,salt,0.137883,0.0,0.0,0.0,0.0
dish_1560368990,ingr_0000000531,pumpkin seeds,0.564706,2.51858876,0.10729414,0.30494124,0.10729414
