Dish ID,Total Mass (grams),Total Calories (kcal),Total Fat (grams),Total Carbs (grams),Total Protein (grams),Number of Ingredients,Ingredients
dish_1551225381,111.000000,57.720000,0.222000,15.540000,0.333000,1,apple
dish_1551225467,70.000000,63.000000,9.100000,0.000000,12.880000,1,fish
dish_1551226013,64.000000,27.520000,0.192000,5.760000,2.176000,1,brussels sprouts
dish_1551226101,166.000000,223.330000,2.745000,46.410000,7.531000,3,brussels sprouts|carrot|tortilla
dish_1551226442,127.000000,87.440000,0.976000,18.010000,4.374000,3,broccoli|brussels sprouts|tortilla
dish_1551226999,200.000000,196.180000,16.853000,18.180000,25.248000,3,bell peppers|fish|tortilla
dish_1551227050,200.000000,196.180000,16.853000,18.180000,25.248000,3,bell peppers|fish|tortilla
dish_1551227435,87.000000,37.410000,0.261000,7.830000,2.958000,1,brussels sprouts
dish_1551227581,31.000000,12.400000,0.062000,2.790000,0.620000,1,bell peppers
dish_1551227669,244.000000,81.310000,0.701000,16.920000,5.846000,3,bell peppers|brussels sprouts|cauliflower
dish_1551228296,94.000000,48.880000,0.188000,13.160000,0.282000,1,apple
dish_1551228551,25.000000,5.500000,0.075000,0.825000,0.775000,1,mushroom
dish_1551232713,78.000000,33.540000,0.234000,7.020000,2.652000,1,brussels sprouts
dish_1551233210,105.000000,131.180000,3.357000,14.752000,10.469000,3,ham|mushroom|noodles
dish_1551233248,105.000000,131.180000,3.357000,14.752000,10.469000,3,ham|mushroom|noodles
dish_1551233523,20.000000,43.600000,0.580000,9.000000,1.200000,1,tortilla
dish_1551233633,156.000000,95.150000,0.923000,21.650000,2.673000,3,apple|cauliflower|tortilla
dish_1551233708,41.000000,108.814000,1.722000,17.343000,5.535000,1,bread
dish_1551233745,47.000000,68.150000,2.820000,0.705000,9.870000,1,ham
dish_1551233827,157.000000,212.844000,4.680000,27.708000,15.612000,3,apple|bread|ham
dish_1551234046,101.000000,140.180000,3.146000,19.500000,9.920000,3,bell peppers|ham|tortilla
dish_1551234288,90.000000,22.040000,0.227000,4.221000,1.873000,3,broccoli|cucumbers|mushroom
dish_1551234316,90.000000,22.040000,0.227000,4.221000,1.873000,3,broccoli|cucumbers|mushroom
dish_1551236417,47.000000,68.150000,2.820000,0.705000,9.870000,1,ham
dish_1551236712,69.000000,32.430000,0.069000,8.280000,0.621000,1,orange
dish_1551236949,102.000000,43.860000,0.306000,9.180000,3.468000,1,brussels sprouts
dish_1551237079,246.000000,312.910000,9.708000,9.180000,46.258000,3,beef|brussels sprouts|chicken
dish_1551237498,128.000000,176.640000,2.688000,32.000000,5.760000,1,noodles
dish_1551237607,39.000000,53.820000,0.819000,9.750000,1.755000,1,noodles
dish_1551303476,181.000000,224.750000,0.738000,32.790000,20.697000,3,bean(seed)|shrimp|white rice
dish_1551304973,27.000000,5.940000,0.081000,0.891000,0.837000,1,mushroom
dish_1551305168,33.000000,31.680000,0.495000,6.930000,1.122000,1,corn
dish_1551305209,194.000000,128.740000,2.452000,23.901000,5.175000,3,corn|mushroom|oatmeal
dish_1551306290,27.000000,25.920000,0.405000,5.670000,0.918000,1,corn
dish_1551306452,70.000000,98.000000,0.420000,16.800000,6.300000,1,bean(seed)
dish_1551306491,62.000000,15.500000,0.186000,3.100000,1.116000,1,cauliflower
dish_1551307090,53.000000,171.550000,11.686000,11.480000,6.152000,3,bacon|mushroom|potato chips
dish_1551307325,72.000000,106.560000,7.920000,1.152000,7.200000,1,scrambled eggs
dish_1551313782,81.000000,49.410000,0.405000,12.150000,0.891000,1,kiwi
dish_1551313822,63.000000,18.270000,0.189000,5.670000,0.693000,1,lemon
dish_1551313872,46.000000,64.400000,0.276000,11.040000,4.140000,1,bean(seed)
dish_1551313896,190.000000,132.080000,0.870000,28.860000,5.724000,3,bean(seed)|kiwi|lemon
dish_1551314022,39.000000,23.790000,0.195000,5.850000,0.429000,1,kiwi
dish_1551314254,41.000000,11.890000,0.123000,3.690000,0.451000,1,lemon
dish_1551317449,50.000000,65.000000,0.150000,14.000000,1.350000,1,white rice
dish_1551317589,32.000000,44.800000,0.192000,7.680000,2.880000,1,bean(seed)
dish_1551317628,182.000000,138.800000,0.642000,30.680000,5.330000,3,bean(seed)|lemon|white rice
dish_1551318504,68.000000,17.000000,0.204000,3.400000,1.224000,1,cauliflower
dish_1551318716,251.000000,118.430000,2.117000,23.590000,4.849000,3,cauliflower|lemon|oatmeal
dish_1551322577,79.000000,37.130000,0.079000,9.480000,0.711000,1,orange
dish_1551322804,178.000000,88.620000,0.784000,22.470000,2.582000,3,corn|lemon|orange
dish_1551322988,74.000000,96.200000,0.222000,20.720000,1.998000,1,white rice
dish_1551323219,43.000000,26.230000,0.215000,6.450000,0.473000,1,kiwi
dish_1551323262,84.000000,42.000000,0.084000,10.920000,0.420000,1,pineapple
dish_1551323433,24.000000,33.600000,0.144000,5.760000,2.160000,1,bean(seed)
dish_1551323937,74.000000,31.820000,0.222000,6.660000,2.516000,1,brussels sprouts
dish_1551324079,59.000000,58.410000,0.177000,0.118000,14.160000,1,shrimp
dish_1551324246,14.000000,75.740000,5.880000,0.196000,5.180000,1,bacon
dish_1551324284,191.000000,163.650000,6.411000,6.214000,21.464000,3,bacon|cauliflower|shrimp
dish_1551373181,88.000000,78.320000,0.264000,20.240000,0.968000,1,banana
dish_1551374155,63.000000,38.430000,0.315000,9.450000,0.693000,1,kiwi
dish_1551374560,194.000000,96.050000,0.520000,23.230000,2.338000,3,banana|broccoli|cantaloupe
dish_1551374946,100.000000,61.000000,0.500000,15.000000,1.100000,1,kiwi
dish_1551375252,219.000000,109.210000,0.479000,26.480000,3.007000,3,berries|brussels sprouts|orange
dish_1551375366,40.000000,39.600000,0.120000,0.080000,9.600000,1,shrimp
dish_1551375480,178.000000,99.170000,0.451000,14.420000,10.649000,3,berries|cantaloupe|shrimp
dish_1551376575,147.000000,315.340000,20.365000,27.020000,10.205000,3,broccoli|nuts|white rice
dish_1551376850,78.000000,44.460000,0.234000,10.920000,0.546000,1,berries
dish_1551377177,149.000000,91.800000,0.289000,10.209000,13.540000,3,mushroom|orange|shrimp
dish_1551377388,35.000000,31.150000,0.105000,8.050000,0.385000,1,banana
dish_1551378291,36.000000,7.344000,0.036000,1.404000,0.792000,1,asparagus
dish_1551378344,73.000000,64.970000,0.219000,16.790000,0.803000,1,banana
dish_1551378490,141.000000,117.114000,0.447000,25.874000,4.475000,3,asparagus|banana|bean(seed)
dish_1551379331,36.000000,35.640000,0.108000,0.072000,8.640000,1,shrimp
dish_1551379566,36.000000,144.720000,11.880000,0.468000,9.000000,1,cheese
dish_1551379741,114.000000,28.500000,0.342000,5.700000,2.052000,1,cauliflower
dish_1551379788,43.000000,261.010000,23.220000,9.030000,8.600000,1,nuts
dish_1551379881,168.000000,348.470000,27.412000,20.560000,11.422000,3,cauliflower|nuts|potato chips
dish_1551380910,22.000000,4.840000,0.066000,0.726000,0.682000,1,mushroom
dish_1551380950,21.000000,84.420000,6.930000,0.273000,5.250000,1,cheese
dish_1551381050,102.000000,217.880000,8.707000,27.549000,9.472000,3,cheese|mushroom|tortilla
dish_1551381173,32.000000,69.760000,0.928000,14.400000,1.920000,1,tortilla
dish_1551381249,71.000000,20.590000,0.213000,6.390000,0.781000,1,lemon
dish_1551381990,3324.000000,678.096000,3.324000,129.636000,73.128000,1,asparagus
dish_1551384115,210.000000,100.084000,0.374000,24.844000,1.826000,3,asparagus|berries|pineapple
dish_1551389506,62.000000,59.520000,0.930000,13.020000,2.108000,1,corn
dish_1551389684,33.000000,6.732000,0.033000,1.287000,0.726000,1,asparagus
dish_1551390265,56.000000,92.400000,2.016000,0.000000,17.360000,1,chicken
dish_1551390382,164.000000,147.100000,2.513000,12.760000,19.107000,3,broccoli|chicken|kiwi
dish_1551390528,63.000000,15.750000,0.189000,3.150000,1.134000,1,cauliflower
dish_1551391438,26.000000,25.740000,0.078000,0.052000,6.240000,1,shrimp
dish_1551391710,19.000000,102.790000,7.980000,0.266000,7.030000,1,bacon
dish_1551391758,141.000000,158.410000,10.416000,7.980000,11.546000,3,bacon|lemon|tofu
dish_1551392271,32.000000,23.360000,1.536000,0.608000,2.560000,1,tofu
dish_1551392654,112.000000,125.590000,7.965000,8.582000,7.713000,3,mushroom|potato chips|tofu
dish_1551392884,29.000000,27.840000,0.435000,6.090000,0.986000,1,corn
dish_1551392958,86.000000,76.600000,0.681000,14.970000,4.324000,3,bean(seed)|brussels sprouts|corn
dish_1551394614,50.000000,23.500000,0.050000,6.000000,0.450000,1,orange
dish_1551394835,27.000000,16.470000,0.135000,4.050000,0.297000,1,kiwi
dish_1551394874,113.000000,66.250000,1.913000,10.734000,3.627000,3,kiwi|orange|tofu
dish_1551395269,113.000000,139.410000,2.094000,5.964000,24.362000,3,chicken|corn|shrimp
dish_1551399151,145.000000,156.170000,6.042000,7.536000,19.712000,3,cheese|chicken|lemon
dish_1551399293,18.000000,109.260000,9.720000,3.780000,3.600000,1,nuts
dish_1551399340,50.000000,48.000000,0.750000,10.500000,1.700000,1,corn
dish_1551399484,90.000000,275.180000,18.170000,25.940000,6.840000,3,corn|nuts|potato chips
dish_1551486372,79.000000,90.850000,8.453000,4.977000,0.632000,1,olives
dish_1551486411,14.000000,5.740000,0.028000,1.400000,0.126000,1,carrot
dish_1551486628,126.000000,128.270000,8.976000,13.307000,1.880000,3,carrot|corn|olives
dish_1551487735,20.000000,4.080000,0.020000,0.780000,0.440000,1,asparagus
dish_1551488448,79.000000,92.750000,6.030000,4.155000,6.500000,3,ham|olives|orange
dish_1551489961,158.000000,335.348000,25.954000,7.191000,18.979000,3,ham|olives|sausage
dish_1551490701,92.000000,317.032000,25.116000,3.864000,17.756000,1,sausage
dish_1551490767,182.000000,434.032000,32.631000,7.374000,27.566000,3,ham|olives|sausage
dish_1551491452,27.000000,5.508000,0.027000,1.053000,0.594000,1,asparagus
dish_1551492506,45.000000,51.750000,4.815000,2.835000,0.360000,1,olives
dish_1551492702,114.000000,28.500000,0.342000,5.700000,2.052000,1,cauliflower
dish_1551492908,77.000000,127.050000,2.772000,0.000000,23.870000,1,chicken
dish_1551493749,163.000000,270.802000,20.455000,12.198000,10.977000,3,olives|orange|sausage
dish_1551493916,175.000000,421.286000,31.874000,9.452000,23.579000,3,broccoli|carrot|sausage
dish_1551494035,67.000000,146.060000,1.943000,30.150000,4.020000,1,tortilla
dish_1551563170,137.000000,137.090000,6.757000,11.004000,9.523000,3,berries|ham|olives
dish_1551563370,16.000000,6.560000,0.032000,1.600000,0.144000,1,carrot
dish_1551563723,56.000000,28.000000,0.056000,7.280000,0.280000,1,pineapple
dish_1551564352,66.000000,31.020000,0.066000,7.920000,0.594000,1,orange
dish_1551564381,56.000000,64.400000,5.992000,3.528000,0.448000,1,olives
dish_1551564577,25.000000,54.500000,0.725000,11.250000,1.500000,1,tortilla
dish_1551564947,14.000000,30.520000,0.406000,6.300000,0.840000,1,tortilla
dish_1551565068,82.000000,109.360000,3.384000,8.935000,11.301000,3,carrot|ham|tortilla
dish_1551565096,82.000000,109.360000,3.384000,8.935000,11.301000,3,carrot|ham|tortilla
dish_1551565168,102.000000,25.500000,0.306000,5.100000,1.836000,1,cauliflower
dish_1551565720,132.000000,122.250000,2.790000,13.640000,10.773000,3,cauliflower|ham|white rice
dish_1551565996,88.000000,303.248000,24.024000,3.696000,16.984000,1,sausage
dish_1551566159,206.000000,360.958000,24.142000,18.606000,17.746000,3,orange|pineapple|sausage
dish_1551566236,45.000000,155.070000,12.285000,1.890000,8.685000,1,sausage
dish_1551566356,92.000000,228.690000,15.832000,12.204000,10.049000,3,olives|sausage|tortilla
dish_1551566421,11.000000,23.980000,0.319000,4.950000,0.660000,1,tortilla
dish_1551566464,45.000000,11.250000,0.135000,2.250000,0.810000,1,cauliflower
dish_1551566781,134.000000,142.630000,2.962000,8.960000,19.308000,3,carrot|chicken|oatmeal
dish_1551566922,33.000000,24.090000,1.584000,0.627000,2.640000,1,tofu
dish_1551567004,87.000000,70.650000,5.157000,4.806000,3.093000,3,carrot|olives|tofu
dish_1551567106,37.000000,224.590000,19.980000,7.770000,7.400000,1,nuts
dish_1551567329,70.000000,101.500000,4.200000,1.050000,14.700000,1,ham
dish_1551567650,24.000000,4.896000,0.024000,0.936000,0.528000,1,asparagus
dish_1551567805,121.000000,77.446000,4.043000,11.067000,1.124000,3,asparagus|olives|pineapple
dish_1551567937,56.000000,14.000000,0.168000,2.800000,1.008000,1,cauliflower
dish_1551568059,123.000000,35.670000,0.369000,11.070000,1.353000,1,lemon
dish_1551568200,67.000000,38.190000,0.201000,9.380000,0.469000,1,berries
dish_1551568240,270.000000,128.260000,1.690000,30.050000,3.742000,3,berries|lemon|oatmeal
dish_1556572657,36.000000,41.400000,3.852000,2.268000,0.288000,1,olives
dish_1556575327,154.000000,103.300000,6.882000,10.618000,2.868000,3,brussels sprouts|celery|olives
dish_1556575386,154.000000,103.300000,6.882000,10.618000,2.868000,3,brussels sprouts|celery|olives
dish_1556575558,154.000000,103.300000,6.882000,10.618000,2.868000,3,brussels sprouts|celery|olives
dish_1557853229,126.000000,195.930000,13.230000,1.512000,15.750000,1,eggs
dish_1557861837,123.000000,61.884000,5.827000,4.460000,8.698000,3,caesar salad|eggplant|fish
dish_1557862829,24.000000,5.520000,0.096000,0.864000,0.696000,1,spinach (raw)
dish_1557937037,49.000000,25.970000,0.343000,5.880000,0.588000,1,raspberries
dish_1557937079,27.000000,146.070000,11.340000,0.378000,9.990000,1,bacon
dish_1557937715,39.000000,20.670000,0.273000,4.680000,0.468000,1,raspberries
dish_1558026684,71.000000,24.140000,0.142000,5.680000,0.568000,1,cantaloupe
dish_1558027243,163.000000,263.365000,12.798000,24.698000,12.548000,3,bacon|deprecated|yam
dish_1558028007,71.000000,54.670000,0.071000,12.070000,1.420000,1,potatoes
dish_1558028492,61.000000,20.740000,0.122000,4.880000,0.488000,1,cantaloupe
dish_1558029324,250.000000,273.500000,11.563000,29.648000,12.830000,3,bacon|honeydew melons|potatoes
dish_1558029923,200.000000,279.551000,9.596000,38.302000,10.452000,3,bacon|cantaloupe|yam
dish_1558031302,74.000000,56.980000,0.074000,12.580000,1.480000,1,potatoes
dish_1558110385,34.000000,52.870000,3.570000,0.408000,4.250000,1,eggs
dish_1558110478,161.000000,205.439000,6.801000,27.932000,8.301000,4,bacon|berries|eggs|yam
dish_1558114145,83.000000,57.270000,0.166000,14.940000,0.581000,1,grapes
dish_1558115825,62.000000,42.780000,0.124000,11.160000,0.434000,1,grapes
dish_1558115915,59.000000,203.314000,16.107000,2.478000,11.387000,1,sausage
dish_1558116436,17.000000,91.970000,7.140000,0.238000,6.290000,1,bacon
dish_1558116486,57.000000,39.330000,0.114000,10.260000,0.399000,1,grapes
dish_1558122740,304.000000,260.150000,7.703000,22.625000,28.619000,5,bacon|deprecated|grapes|mixed greens|potatoes
dish_1558372525,42.000000,242.802000,20.790000,9.534000,9.408000,1,almonds
dish_1558372695,43.000000,148.178000,11.739000,1.806000,8.299000,1,sausage
dish_1558373405,40.000000,13.600000,0.080000,3.200000,0.320000,1,cantaloupe
dish_1558376306,108.000000,372.168000,29.484000,4.536000,20.844000,1,sausage
dish_1558376364,71.000000,48.990000,0.142000,12.780000,0.497000,1,grapes
dish_1558376874,58.000000,335.298000,28.710000,13.166000,12.992000,1,almonds
dish_1558378634,315.000000,874.966000,64.777000,44.302000,37.979000,3,almonds|grapes|sausage
dish_1558380058,36.000000,208.116000,17.820000,8.172000,8.064000,1,almonds
dish_1558380181,313.000000,374.936000,18.374000,32.721000,29.022000,3,almonds|deprecated|grapes
dish_1558380414,52.000000,35.880000,0.104000,9.360000,0.364000,1,grapes
dish_1558381860,59.000000,94.400000,8.850000,5.310000,1.180000,1,avocado
dish_1558457665,325.000000,273.205000,11.987000,24.532000,16.387000,4,cantaloupe|cauliflower|eggs|sweet potato
dish_1558458847,143.000000,74.360000,0.286000,20.020000,0.429000,1,apple
dish_1558459395,36.000000,208.116000,17.820000,8.172000,8.064000,1,almonds
dish_1558461760,61.000000,10.980000,0.122000,2.379000,0.549000,1,cherry tomatoes
dish_1558463562,64.000000,369.984000,31.680000,14.528000,14.336000,1,almonds
dish_1558544663,208.000000,141.440000,2.912000,24.960000,4.992000,1,oatmeal
dish_1558545738,142.000000,73.840000,0.284000,19.880000,0.426000,1,apple
dish_1558546434,11.000000,2.530000,0.044000,0.396000,0.319000,1,spinach (raw)
dish_1558546558,44.000000,254.364000,21.780000,9.988000,9.856000,1,almonds
dish_1558546918,54.000000,70.200000,0.162000,15.120000,1.458000,1,white rice
dish_1558547205,186.000000,291.175000,12.677000,37.511000,9.297000,4,almonds|potatoes|spinach (raw)|white rice
dish_1558549086,95.000000,73.150000,0.095000,16.150000,1.900000,1,potatoes
dish_1558549214,361.000000,239.190000,0.722000,53.875000,5.712000,5,cherry tomatoes|grapes|potatoes|spinach (raw)|white rice
dish_1558549806,203.000000,781.958000,58.675000,48.146000,28.747000,3,almonds|spinach (raw)|white rice
dish_1558550127,22.000000,127.182000,10.890000,4.994000,4.928000,1,almonds
dish_1558628711,129.000000,129.064500,0.129000,30.573000,1.677000,2,sweet potato|yam
dish_1558629444,39.000000,225.459000,19.305000,8.853000,8.736000,1,almonds
